variable,estimate
lp__,-7349.17
mu_b0,1.60439
sigma_b0,0.986689
z_b0[1],0.690668
z_b0[2],0.766319
z_b0[3],0.0106547
z_b0[4],-0.132821
z_b0[5],0.233688
z_b0[6],0.188003
z_b0[7],-0.265132
z_b0[8],0.503104
z_b0[9],-0.598409
z_b0[10],-0.0364426
z_b0[11],-0.0206511
z_b0[12],-0.509348
z_b0[13],0.20241
z_b0[14],0.764391
z_b0[15],-0.0119178
z_b0[16],0.34644200000000003
z_b0[17],0.390281
z_b0[18],-0.133332
z_b0[19],-0.0168412
z_b0[20],-0.702499
z_b0[21],-0.305882
z_b0[22],0.552765
z_b0[23],0.542779
z_b0[24],-0.15174
z_b0[25],-0.0319104
z_b0[26],0.0537536
z_b0[27],-0.269253
z_b0[28],-0.374655
z_b0[29],-3.63149e-4
z_b0[30],0.0384794
z_b0[31],0.190497
z_b0[32],-0.0661879
z_b0[33],-0.0990288
z_b0[34],-0.00548843
z_b0[35],-0.0117864
z_b0[36],0.110961
z_b0[37],-0.0299981
z_b0[38],0.470634
z_b0[39],0.209837
z_b0[40],-0.11889
z_b0[41],-0.208829
z_b0[42],-0.375882
z_b0[43],-0.753558
z_b0[44],-0.15593
z_b0[45],-0.534179
z_b0[46],-0.0744658
z_b0[47],-0.151437
z_b0[48],-0.348517
z_b0[49],0.0563763
b1,1.06313
b2,-0.277101
b3,0.144001
b4,-0.0679657
b5,-0.0068632
b6,-0.0118788
b7,-0.0365229
b8,-0.188598
b9,0.0019935
b10,0.0155151
b11,-2.31402e-6
b12,-0.162173
b13,0.0426555
sigma,0.780648
b0[1],2.28587
b0[2],2.36051
b0[3],1.61491
b0[4],1.47334
b0[5],1.83497
b0[6],1.7899
b0[7],1.34279
b0[8],2.1008
b0[9],1.01395
b0[10],1.56844
b0[11],1.58402
b0[12],1.10183
b0[13],1.80411
b0[14],2.35861
b0[15],1.59264
b0[16],1.94622
b0[17],1.98948
b0[18],1.47284
b0[19],1.58778
b0[20],0.911247
b0[21],1.30258
b0[22],2.1498
b0[23],2.13995
b0[24],1.45467
b0[25],1.57291
b0[26],1.65743
b0[27],1.33873
b0[28],1.23473
b0[29],1.60404
b0[30],1.64236
b0[31],1.79236
b0[32],1.53909
b0[33],1.50668
b0[34],1.59898
b0[35],1.59277
b0[36],1.71388
b0[37],1.5748
b0[38],2.06876
b0[39],1.81144
b0[40],1.48709
b0[41],1.39835
b0[42],1.23352
b0[43],0.860867
b0[44],1.45054
b0[45],1.07733
b0[46],1.53092
b0[47],1.45497
b0[48],1.26052
b0[49],1.66002
ln_DDS_rep[1],4.62325
ln_DDS_rep[2],2.92377
ln_DDS_rep[3],3.06454
ln_DDS_rep[4],1.70276
ln_DDS_rep[5],0.436582
ln_DDS_rep[6],2.99995
ln_DDS_rep[7],3.08421
ln_DDS_rep[8],2.48289
ln_DDS_rep[9],2.56543
ln_DDS_rep[10],4.52335
ln_DDS_rep[11],2.23942
ln_DDS_rep[12],2.15655
ln_DDS_rep[13],2.05407
ln_DDS_rep[14],4.60651
ln_DDS_rep[15],1.02428
ln_DDS_rep[16],2.99702
ln_DDS_rep[17],2.54328
ln_DDS_rep[18],1.63381
ln_DDS_rep[19],2.06089
ln_DDS_rep[20],1.86327
ln_DDS_rep[21],1.18562
ln_DDS_rep[22],2.77249
ln_DDS_rep[23],2.63366
ln_DDS_rep[24],1.78051
ln_DDS_rep[25],1.39825
ln_DDS_rep[26],1.00126
