variable,estimate
b_Intercept,2.4638150000000003
b_DBH_std,-0.09662745
b_IDBH_stdE2,-0.016009
b_BAL_std,-0.145443
b_CR_std,0.42487549999999996
b_SI_std,-0.053316749999999996
b_BA_std,0.193207
sd_SPCD__Intercept,0.8966959999999999
Intercept,2.4506449999999997
"r_SPCD[15,Intercept]",-0.906879
"r_SPCD[20,Intercept]",-0.62787250000000006
"r_SPCD[62,Intercept]",-0.0166059
"r_SPCD[64,Intercept]",0.922941
"r_SPCD[65,Intercept]",1.70597
"r_SPCD[81,Intercept]",-0.5881545
"r_SPCD[101,Intercept]",1.650335
"r_SPCD[103,Intercept]",0.843873
"r_SPCD[104,Intercept]",1.7304249999999999
"r_SPCD[108,Intercept]",0.2794205
"r_SPCD[109,Intercept]",-1.503145
"r_SPCD[113,Intercept]",0.7105665
"r_SPCD[116,Intercept]",0.2771035
"r_SPCD[117,Intercept]",-1.0291649999999999
"r_SPCD[119,Intercept]",-0.306924
"r_SPCD[122,Intercept]",-0.3859675
"r_SPCD[127,Intercept]",-0.116741
"r_SPCD[133,Intercept]",-0.228046
"r_SPCD[137,Intercept]",0.1580995
"r_SPCD[142,Intercept]",1.0766499999999999
"r_SPCD[201,Intercept]",-0.9919435
"r_SPCD[202,Intercept]",-0.08574760000000001
"r_SPCD[212,Intercept]",0.4782515
"r_SPCD[231,Intercept]",0.363456
"r_SPCD[251,Intercept]",0.626405
"r_SPCD[264,Intercept]",1.04753
"r_SPCD[312,Intercept]",0.2246865
"r_SPCD[333,Intercept]",-1.4038650000000001
"r_SPCD[351,Intercept]",0.09035945000000001
"r_SPCD[352,Intercept]",-0.5112895
"r_SPCD[361,Intercept]",-0.3683435
"r_SPCD[431,Intercept]",0.2029335
"r_SPCD[492,Intercept]",0.4242
"r_SPCD[547,Intercept]",-0.62964
"r_SPCD[604,Intercept]",-0.7883765
"r_SPCD[631,Intercept]",-0.2587735
"r_SPCD[730,Intercept]",-0.458383
"r_SPCD[746,Intercept]",-0.558843
"r_SPCD[747,Intercept]",0.10217699999999999
"r_SPCD[768,Intercept]",-0.41456099999999996
"r_SPCD[801,Intercept]",-0.5793055
"r_SPCD[805,Intercept]",-0.584633
"r_SPCD[807,Intercept]",0.0589968
"r_SPCD[811,Intercept]",0.5013345
"r_SPCD[815,Intercept]",0.545285
"r_SPCD[818,Intercept]",-0.379155
"r_SPCD[821,Intercept]",0.442247
"r_SPCD[839,Intercept]",-0.5867180000000001
"r_SPCD[981,Intercept]",-0.371855
lprior,-3.7814300000000003
lp__,-10628.7
