variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,2.3971,2.0232919999999996,2.801553,1.005779955328997,528.6654829033432,0.7782610000000005,TRUE
b_DBH_std,-0.2386595,-0.4685842,-0.01151010000000005,1.0029558145812416,740.1728853560594,0.45707409999999993,TRUE
b_IDBH_stdE2,-0.1559045,-0.185657,-0.12473290000000004,1.0005654790122693,5426.774823009797,0.06092409999999995,TRUE
b_BAL_std,-0.2938345,-0.6858683,0.10691244999999998,1.0027803195742246,853.4447927456281,0.7927807499999999,TRUE
b_CR_std,0.5028895,0.47046435,0.5353125,1.0021975790927136,6319.509417845792,0.06484815,TRUE
b_SI_std,-0.127756,-0.166932,-0.08918055500000001,1.0005082788254958,5625.694347969224,0.07775144499999999,TRUE
b_BA_std,0.1557395,0.11323984999999999,0.19968335,1.0005375885945813,6509.9973746935075,0.08644350000000002,TRUE
b_DBH_BAL,-0.635719,-0.67648545,-0.5973365500000001,1.0007882928850158,6007.202062186333,0.07914889999999997,TRUE
b_ELEV_std,-0.09128855,-0.1504094,-0.03213366500000004,1.000123150821616,4783.4759864093885,0.11827573499999997,TRUE
b_SLOPE_std,-0.15307199999999999,-0.18534195,-0.12023640000000001,1.0010925630917562,7134.413280645088,0.06510555,TRUE
sd_SPCD_grouped__Intercept,1.275285,0.97991435,1.686551,1.0057823045463294,853.2432387411661,0.7066366499999999,TRUE
sd_SPCD_grouped__DBH_std,0.671887,0.49764544999999993,0.9097540000000001,1.0048884928045063,1294.6881198769588,0.41210855000000013,TRUE
sd_SPCD_grouped__BAL_std,1.278565,0.979388,1.6721944999999994,1.0035790491486372,1142.1667620747921,0.6928064999999993,TRUE
cor_SPCD_grouped__Intercept__DBH_std,0.3570485,0.01770856,0.6181397,1.0020151347037285,1169.2722594378536,0.60043114,TRUE
cor_SPCD_grouped__Intercept__BAL_std,0.49977150000000004,0.1914538,0.73370245,1.0028091945487845,1116.6930541534114,0.54224865,TRUE
cor_SPCD_grouped__DBH_std__BAL_std,0.7062999999999999,0.4411712,0.8523688999999999,1.0028019477148031,947.3251582249964,0.4111976999999999,TRUE
Intercept,2.42322,2.0474499999999995,2.830497,1.005017811388789,524.5810232169106,0.7830470000000003,TRUE
"r_SPCD_grouped[OTHER,Intercept]",0.18633850000000002,-0.5996556,1.0562535,1.0012782609592021,1611.9863717015285,1.6559091,TRUE
"r_SPCD_grouped[15,Intercept]",-1.12759,-1.534618,-0.7513553500000002,1.0061406047111991,533.1317731471408,0.7832626499999998,TRUE
"r_SPCD_grouped[20,Intercept]",-0.7019439999999999,-1.120414,-0.3024600000000001,1.003829059253827,568.2264703547243,0.8179539999999998,TRUE
"r_SPCD_grouped[62,Intercept]",1.773965,0.31667930000000005,3.507245499999998,1.000820150875015,2411.107546539261,3.190566199999998,TRUE
"r_SPCD_grouped[64,Intercept]",2.1621949999999996,1.1424025,3.5359244999999997,1.0004225127363722,2122.5568072727715,2.393522,TRUE
"r_SPCD_grouped[65,Intercept]",1.896025,0.5974042500000001,3.6333875,1.0023717829627155,3644.856807488567,3.03598325,TRUE
"r_SPCD_grouped[81,Intercept]",-0.8625445,-1.2771695,-0.47467390000000026,1.0040826457853618,539.6519753901918,0.8024955999999999,TRUE
"r_SPCD_grouped[101,Intercept]",0.804455,0.09620585000000001,1.5773324999999998,1.001204430560796,1585.312106256386,1.4811266499999998,TRUE
"r_SPCD_grouped[103,Intercept]",-0.1551325,-1.6834619999999998,1.3107924999999983,0.999797265303295,4852.149560206073,2.994254499999998,TRUE
"r_SPCD_grouped[104,Intercept]",2.863085,1.6548015,4.397212499999998,1.0015850234015578,2302.2064481127154,2.7424109999999984,TRUE
"r_SPCD_grouped[108,Intercept]",0.838052,0.39112515,1.272966,1.0048334230524216,637.8615432726762,0.8818408500000001,TRUE
"r_SPCD_grouped[113,Intercept]",0.4254235,-0.4406578,1.4496179999999996,1.0006244133072788,2608.408437968055,1.8902757999999995,TRUE
"r_SPCD_grouped[116,Intercept]",0.10169900000000001,-0.33298345,0.50226045,1.0031394018334636,600.7762832277762,0.8352439,TRUE
"r_SPCD_grouped[117,Intercept]",-1.1653,-1.5906475,-0.7581689500000001,1.0039644767400102,606.2633794080167,0.8324785499999999,TRUE
"r_SPCD_grouped[119,Intercept]",-0.274868,-0.77016365,0.23099414999999998,1.0019361707243706,767.996114837543,1.0011577999999999,TRUE
"r_SPCD_grouped[122,Intercept]",-0.5891625,-1.0127915,-0.19785085000000024,1.0036876524757814,569.3557395610432,0.8149406499999998,TRUE
"r_SPCD_grouped[127,Intercept]",-1.608225,-3.0788614999999995,-0.2528871500000009,1.0001554927702732,2915.861353435274,2.8259743499999987,TRUE
"r_SPCD_grouped[133,Intercept]",0.29566499999999996,-0.2729044,0.8670851499999997,1.00174064164519,1037.4728154772881,1.1399895499999997,TRUE
"r_SPCD_grouped[142,Intercept]",1.43573,0.36333395,2.7799915,1.0004594521174242,2827.655985979449,2.41665755,TRUE
"r_SPCD_grouped[201,Intercept]",-1.875565,-3.4894060000000002,-0.4186861000000008,1.0007822772413952,2658.319106370714,3.0707198999999994,TRUE
"r_SPCD_grouped[202,Intercept]",-0.172417,-0.5985793999999999,0.22491834999999966,1.0043767282517453,567.4233527430769,0.8234977499999996,TRUE
"r_SPCD_grouped[251,Intercept]",-0.01931645,-0.9792995999999998,1.0280114999999999,1.0006487684285406,2391.288808415839,2.0073111,TRUE
"r_SPCD_grouped[264,Intercept]",1.41948,0.74162045,2.1511069999999997,1.0016425852804025,1352.6953713105902,1.4094865499999996,TRUE
"r_SPCD_grouped[312,Intercept]",0.15759800000000002,-0.69064195,1.039842,1.0007287263823381,2091.012927272518,1.73048395,TRUE
"r_SPCD_grouped[333,Intercept]",0.130469,-1.1941680000000001,1.5879944999999993,1.0014205664109626,3876.9254549798184,2.782162499999999,TRUE
"r_SPCD_grouped[352,Intercept]",-0.120177,-1.0157405,0.8697681999999999,1.000675550462392,2454.1593812609044,1.8855087,TRUE
"r_SPCD_grouped[361,Intercept]",0.13636500000000001,-0.5469307,0.8514166499999999,1.0009859442663616,1215.7577004194118,1.3983473499999999,TRUE
"r_SPCD_grouped[492,Intercept]",0.8722989999999999,-0.5532147,2.6377649999999995,1.000341557870308,3320.984972994103,3.1909796999999993,TRUE
"r_SPCD_grouped[631,Intercept]",-0.6394074999999999,-1.2014699999999998,-0.08938066000000008,1.0012981519596573,974.3696330505576,1.1120893399999998,TRUE
"r_SPCD_grouped[746,Intercept]",-1.224035,-2.040274,-0.4450115500000008,1.0016191257342502,1769.2280715719871,1.5952624499999994,TRUE
"r_SPCD_grouped[747,Intercept]",0.199121,-0.82813195,1.3981789999999998,1.0035009952142757,3172.6230720239473,2.22631095,TRUE
"r_SPCD_grouped[801,Intercept]",-2.41986,-3.2611239999999997,-1.6510765,0.9998613409248304,1913.8071799458132,1.6100474999999996,TRUE
"r_SPCD_grouped[805,Intercept]",0.11851,-0.34453340000000005,0.5703547999999996,1.003952047564158,685.6619286983686,0.9148881999999996,TRUE
"r_SPCD_grouped[807,Intercept]",-1.305185,-2.356615,-0.20376070000000054,1.0008367363058677,3067.740806880889,2.1528542999999996,TRUE
"r_SPCD_grouped[815,Intercept]",-1.7445,-2.9876815,-0.5295055000000018,1.0008771438394568,2883.435036841513,2.458175999999998,TRUE
"r_SPCD_grouped[818,Intercept]",-0.43311,-0.8649808,-0.02042807000000056,1.0052396705134379,552.5559745843451,0.8445527299999994,TRUE
"r_SPCD_grouped[839,Intercept]",-0.488443,-1.230144,0.23124034999999965,1.0010483864041528,1513.4444734576218,1.4613843499999994,TRUE
"r_SPCD_grouped[981,Intercept]",0.4413335,-0.64967495,1.609098,1.0024300740068375,2302.2039761380047,2.25877295,TRUE
"r_SPCD_grouped[OTHER,DBH_std]",0.428624,0.010530565000000002,0.86107905,1.001600283684541,2058.342063364494,0.8505484849999999,TRUE
"r_SPCD_grouped[15,DBH_std]",0.436135,0.19806945,0.66978145,1.0025262847191818,770.4181025269427,0.471712,TRUE
"r_SPCD_grouped[20,DBH_std]",0.645762,0.40238074999999995,0.8996752499999999,1.002267804587461,849.0163281191622,0.4972945,TRUE
"r_SPCD_grouped[62,DBH_std]",0.9756279999999999,0.2918753,1.7662529999999996,1.000097284378452,3236.4679355425687,1.4743776999999996,TRUE
"r_SPCD_grouped[64,DBH_std]",0.6578155,0.19183875,1.1911854999999993,0.9999627456403349,2562.964779549794,0.9993467499999993,TRUE
