variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,2.4045766825,0.23745502647400124,1.9489040000000002,2.8979485,1.005779955328997,528.6654829033432,760.644854636741
DBH_std,-0.2397819594391,0.13897399487985113,-0.5101492249999999,0.03755491750000006,1.0029558145812416,740.1728853560594,1313.0993537424276
IDBH_stdE2,-0.15583582195,0.018459680168413352,-0.190502925,-0.11954129999999999,1.0005654790122693,5426.774823009797,3228.171382584708
BAL_std,-0.294381327032,0.24192740681051084,-0.7732191249999998,0.18626775000000004,1.0027803195742246,853.4447927456281,1264.0841649031902
CR_std,0.50275630525,0.019993835122739743,0.46453570000000005,0.5419246249999999,1.0021975790927136,6319.509417845792,2989.621986913361
SI_std,-0.12793431675,0.023672200461201706,-0.17595619999999998,-0.08215297,1.0005082788254958,5625.694347969224,3010.027499163984
BA_std,0.15606686885,0.026233753062325896,0.10409652500000002,0.20971957500000005,1.0005375885945813,6509.9973746935075,3100.7248328950427
DBH_BAL,-0.63616201175,0.023776867660165926,-0.6837282,-0.58948135,1.0007882928850158,6007.202062186333,3323.4951539376902
ELEV_std,-0.09170643988965,0.035490512243974204,-0.162348625,-0.022567552499999956,1.000123150821616,4783.4759864093885,3100.8253473377276
SLOPE_std,-0.15269901265,0.019993779208018297,-0.191324275,-0.1145361,1.0010925630917562,7134.413280645088,2902.7932834490503
